transaction_id,order_date,customer_id,acquisition_channel,gender,age,product_category,quantity,price_per_unit,total_amount
367,2023-05-30,CUST0140,paid_search,Female,19,Electronics,1,148,148
368,2023-06-20,CUST0141,paid_search,Male,34,Electronics,3,382,1146
369,2023-01-29,CUST0142,social,Male,49,Electronics,2,312,624
370,2023-02-08,CUST0142,social,Male,49,Clothing,2,77,154
371,2023-02-11,CUST0142,social,Male,49,Electronics,2,328,656
372,2023-02-16,CUST0142,social,Male,49,Clothing,3,36,108
373,2023-02-05,CUST0143,email,Female,25,Clothing,1,46,46
374,2023-02-12,CUST0143,email,Female,25,Beauty,2,39,78
375,2023-01-13,CUST0144,social,Male,20,Clothing,4,113,452
376,2023-01-16,CUST0144,social,Male,20,Beauty,3,23,69
377,2023-06-09,CUST0145,paid_search,Male,29,Clothing,3,59,177
378,2023-06-16,CUST0145,paid_search,Male,29,Clothing,3,115,345
379,2023-06-23,CUST0145,paid_search,Male,29,Electronics,3,50,150
380,2023-07-03,CUST0145,paid_search,Male,29,Beauty,1,10,10
381,2023-07-24,CUST0145,paid_search,Male,29,Electronics,4,399,1596
382,2023-07-29,CUST0145,paid_search,Male,29,Beauty,4,55,220
383,2023-08-28,CUST0145,paid_search,Male,29,Clothing,2,52,104
384,2023-11-23,CUST0146,paid_search,Male,37,Beauty,2,50,100
385,2023-11-26,CUST0146,paid_search,Male,37,Clothing,3,41,123
386,2023-11-29,CUST0146,paid_search,Male,37,Beauty,4,71,284
387,2023-12-04,CUST0146,paid_search,Male,37,Electronics,1,380,380
388,2023-07-06,CUST0147,paid_search,Female,33,Beauty,2,68,136
389,2023-07-11,CUST0147,paid_search,Female,33,Electronics,2,221,442
390,2023-07-14,CUST0147,paid_search,Female,33,Clothing,4,103,412
391,2023-07-21,CUST0147,paid_search,Female,33,Beauty,3,14,42
392,2023-07-28,CUST0147,paid_search,Female,33,Clothing,1,30,30
393,2023-08-31,CUST0148,paid_search,Male,31,Clothing,3,29,87
394,2023-03-27,CUST0149,paid_search,Female,33,Beauty,1,54,54
395,2023-04-06,CUST0149,paid_search,Female,33,Clothing,3,53,159
396,2023-10-11,CUST0150,paid_search,Male,50,Clothing,2,32,64
397,2023-11-10,CUST0150,paid_search,Male,50,Electronics,4,328,1312
398,2023-11-15,CUST0150,paid_search,Male,50,Beauty,4,72,288
399,2023-03-07,CUST0151,organic,Male,47,Clothing,4,95,380
400,2023-03-14,CUST0151,organic,Male,47,Electronics,3,158,474
401,2023-03-21,CUST0151,organic,Male,47,Electronics,2,389,778
402,2023-03-24,CUST0151,organic,Male,47,Beauty,4,23,92
403,2023-06-19,CUST0152,email,Male,29,Beauty,1,75,75
